root                 INFO     Start working
GLWindowProcessor    DEBUG    bindings: [<bindings.SegmentStartBinding object at 0x7f0fdc05ab38>, <bindings.SegmentEndBinding object at 0x7f0fdc05aba8>, <bindings.SegmentCenterBinding object at 0x7f0fdc05abe0>, <bindings.FullSegmentBinding object at 0x7f0fdc05ac18>, <bindings.SegmentStartBinding object at 0x7f0fdc05ac50>, <bindings.SegmentEndBinding object at 0x7f0fdc05ac88>, <bindings.SegmentCenterBinding object at 0x7f0fdc05a9b0>, <bindings.FullSegmentBinding object at 0x7f0fdc05aa58>, <bindings.SegmentsIntersectionBinding object at 0x7f0fdc05a978>]
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: [<bindings.SegmentStartBinding object at 0x7f0fdc05ab38>, <bindings.SegmentEndBinding object at 0x7f0fdc05aba8>, <bindings.SegmentCenterBinding object at 0x7f0fdc05abe0>, <bindings.FullSegmentBinding object at 0x7f0fdc05ac18>, <bindings.SegmentStartBinding object at 0x7f0fdc05ac50>, <bindings.SegmentEndBinding object at 0x7f0fdc05ac88>, <bindings.SegmentCenterBinding object at 0x7f0fdc05a9b0>, <bindings.FullSegmentBinding object at 0x7f0fdc05aa58>, <bindings.SegmentsIntersectionBinding object at 0x7f0fdc05a978>]
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: [<bindings.SegmentStartBinding object at 0x7f0fdc05ab38>, <bindings.SegmentEndBinding object at 0x7f0fdc05aba8>, <bindings.SegmentCenterBinding object at 0x7f0fdc05abe0>, <bindings.FullSegmentBinding object at 0x7f0fdc05ac18>, <bindings.SegmentStartBinding object at 0x7f0fdc05ac50>, <bindings.SegmentEndBinding object at 0x7f0fdc05ac88>, <bindings.SegmentCenterBinding object at 0x7f0fdc05a9b0>, <bindings.FullSegmentBinding object at 0x7f0fdc05aa58>, <bindings.SegmentsIntersectionBinding object at 0x7f0fdc05a978>]
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: [<bindings.SegmentStartBinding object at 0x7f0fdc05ab38>, <bindings.SegmentEndBinding object at 0x7f0fdc05aba8>, <bindings.SegmentCenterBinding object at 0x7f0fdc05abe0>, <bindings.FullSegmentBinding object at 0x7f0fdc05ac18>, <bindings.SegmentStartBinding object at 0x7f0fdc05ac50>, <bindings.SegmentEndBinding object at 0x7f0fdc05ac88>, <bindings.SegmentCenterBinding object at 0x7f0fdc05a9b0>, <bindings.FullSegmentBinding object at 0x7f0fdc05aa58>, <bindings.SegmentsIntersectionBinding object at 0x7f0fdc05a978>]
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: [<bindings.SegmentStartBinding object at 0x7f0fdc05ab38>, <bindings.SegmentEndBinding object at 0x7f0fdc05aba8>, <bindings.SegmentCenterBinding object at 0x7f0fdc05abe0>, <bindings.FullSegmentBinding object at 0x7f0fdc05ac18>, <bindings.SegmentStartBinding object at 0x7f0fdc05ac50>, <bindings.SegmentEndBinding object at 0x7f0fdc05ac88>, <bindings.SegmentCenterBinding object at 0x7f0fdc05a9b0>, <bindings.FullSegmentBinding object at 0x7f0fdc05aa58>, <bindings.SegmentsIntersectionBinding object at 0x7f0fdc05a978>]
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: [<bindings.SegmentStartBinding object at 0x7f0fdc05ab38>, <bindings.SegmentEndBinding object at 0x7f0fdc05aba8>, <bindings.SegmentCenterBinding object at 0x7f0fdc05abe0>, <bindings.FullSegmentBinding object at 0x7f0fdc05ac18>, <bindings.SegmentStartBinding object at 0x7f0fdc05ac50>, <bindings.SegmentEndBinding object at 0x7f0fdc05ac88>, <bindings.SegmentCenterBinding object at 0x7f0fdc05a9b0>, <bindings.FullSegmentBinding object at 0x7f0fdc05aa58>, <bindings.SegmentsIntersectionBinding object at 0x7f0fdc05a978>]
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: [<bindings.SegmentStartBinding object at 0x7f0fdc05ab38>, <bindings.SegmentEndBinding object at 0x7f0fdc05aba8>, <bindings.SegmentCenterBinding object at 0x7f0fdc05abe0>, <bindings.FullSegmentBinding object at 0x7f0fdc05ac18>, <bindings.SegmentStartBinding object at 0x7f0fdc05ac50>, <bindings.SegmentEndBinding object at 0x7f0fdc05ac88>, <bindings.SegmentCenterBinding object at 0x7f0fdc05a9b0>, <bindings.FullSegmentBinding object at 0x7f0fdc05aa58>, <bindings.SegmentsIntersectionBinding object at 0x7f0fdc05a978>]
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: [<bindings.SegmentStartBinding object at 0x7f0fdc05ab38>, <bindings.SegmentEndBinding object at 0x7f0fdc05aba8>, <bindings.SegmentCenterBinding object at 0x7f0fdc05abe0>, <bindings.FullSegmentBinding object at 0x7f0fdc05ac18>, <bindings.SegmentStartBinding object at 0x7f0fdc05ac50>, <bindings.SegmentEndBinding object at 0x7f0fdc05ac88>, <bindings.SegmentCenterBinding object at 0x7f0fdc05a9b0>, <bindings.FullSegmentBinding object at 0x7f0fdc05aa58>, <bindings.SegmentsIntersectionBinding object at 0x7f0fdc05a978>]
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: [<bindings.SegmentStartBinding object at 0x7f0fdc05ab38>, <bindings.SegmentEndBinding object at 0x7f0fdc05aba8>, <bindings.SegmentCenterBinding object at 0x7f0fdc05abe0>, <bindings.FullSegmentBinding object at 0x7f0fdc05ac18>, <bindings.SegmentStartBinding object at 0x7f0fdc05ac50>, <bindings.SegmentEndBinding object at 0x7f0fdc05ac88>, <bindings.SegmentCenterBinding object at 0x7f0fdc05a9b0>, <bindings.FullSegmentBinding object at 0x7f0fdc05aa58>, <bindings.SegmentsIntersectionBinding object at 0x7f0fdc05a978>]
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: [<bindings.SegmentStartBinding object at 0x7f0fdc05ab38>, <bindings.SegmentEndBinding object at 0x7f0fdc05aba8>, <bindings.SegmentCenterBinding object at 0x7f0fdc05abe0>, <bindings.FullSegmentBinding object at 0x7f0fdc05ac18>, <bindings.SegmentStartBinding object at 0x7f0fdc05ac50>, <bindings.SegmentEndBinding object at 0x7f0fdc05ac88>, <bindings.SegmentCenterBinding object at 0x7f0fdc05a9b0>, <bindings.FullSegmentBinding object at 0x7f0fdc05aa58>, <bindings.SegmentsIntersectionBinding object at 0x7f0fdc05a978>]
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: [<bindings.SegmentStartBinding object at 0x7f0fdc05ab38>, <bindings.SegmentEndBinding object at 0x7f0fdc05aba8>, <bindings.SegmentCenterBinding object at 0x7f0fdc05abe0>, <bindings.FullSegmentBinding object at 0x7f0fdc05ac18>, <bindings.SegmentStartBinding object at 0x7f0fdc05ac50>, <bindings.SegmentEndBinding object at 0x7f0fdc05ac88>, <bindings.SegmentCenterBinding object at 0x7f0fdc05a9b0>, <bindings.FullSegmentBinding object at 0x7f0fdc05aa58>, <bindings.SegmentsIntersectionBinding object at 0x7f0fdc05a978>]
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: [<bindings.SegmentStartBinding object at 0x7f0fdc05ab38>, <bindings.SegmentEndBinding object at 0x7f0fdc05aba8>, <bindings.SegmentCenterBinding object at 0x7f0fdc05abe0>, <bindings.FullSegmentBinding object at 0x7f0fdc05ac18>, <bindings.SegmentStartBinding object at 0x7f0fdc05ac50>, <bindings.SegmentEndBinding object at 0x7f0fdc05ac88>, <bindings.SegmentCenterBinding object at 0x7f0fdc05a9b0>, <bindings.FullSegmentBinding object at 0x7f0fdc05aa58>, <bindings.SegmentsIntersectionBinding object at 0x7f0fdc05a978>]
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: [<bindings.SegmentStartBinding object at 0x7f0fdc05ab38>, <bindings.SegmentEndBinding object at 0x7f0fdc05aba8>, <bindings.SegmentCenterBinding object at 0x7f0fdc05abe0>, <bindings.FullSegmentBinding object at 0x7f0fdc05ac18>, <bindings.SegmentStartBinding object at 0x7f0fdc05ac50>, <bindings.SegmentEndBinding object at 0x7f0fdc05ac88>, <bindings.SegmentCenterBinding object at 0x7f0fdc05a9b0>, <bindings.FullSegmentBinding object at 0x7f0fdc05aa58>, <bindings.SegmentsIntersectionBinding object at 0x7f0fdc05a978>]
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: [<bindings.SegmentStartBinding object at 0x7f0fdc05ab38>, <bindings.SegmentEndBinding object at 0x7f0fdc05aba8>, <bindings.SegmentCenterBinding object at 0x7f0fdc05abe0>, <bindings.FullSegmentBinding object at 0x7f0fdc05ac18>, <bindings.SegmentStartBinding object at 0x7f0fdc05ac50>, <bindings.SegmentEndBinding object at 0x7f0fdc05ac88>, <bindings.SegmentCenterBinding object at 0x7f0fdc05a9b0>, <bindings.FullSegmentBinding object at 0x7f0fdc05aa58>, <bindings.SegmentsIntersectionBinding object at 0x7f0fdc05a978>]
GLWindowProcessor    DEBUG    handle_mouse_move_event start
